therapy_label,disease_label,drug_label,raw_text,geneProtein_label,metastatic,firstLine,acceleratedApproval,negGeProDr_label
Nivolumab and Hyaluronidase-nvhy,urothelial carcinoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","
OPDIVO QVANTIG, as monotherapy, is indicated for the adjuvant treatment of adult patients with urothelial carcinoma (UC) who are at high risk of recurrence after undergoing radical resection of UC.
OPDIVO QVANTIG, in combination with cisplatin and gemcitabine, is indicated for the first-line treatment of adult patients with unresectable or metastatic UC.
OPDIVO QVANTIG, as monotherapy, is indicated for the treatment of adult patients with locally advanced or metastatic UC who:

•
have disease progression during or following platinum-containing chemotherapy.
•
have disease progression within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy.",*,Yes,Yes,,
Nivolumab and Hyaluronidase-nvhy,esophageal adenocarcinoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","
OPDIVO QVANTIG, in combination with fluoropyrimidine- and platinum-containing chemotherapy, is indicated for the treatment of adult patients with advanced or metastatic gastric cancer, gastroesophageal junction cancer, and esophageal adenocarcinoma whose tumors express PD-L1 (≥1) [see Dosage and Administration (2.2)].",PD-L1,Yes,,,
Nivolumab and Hyaluronidase-nvhy,gastroesophageal junction cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","
OPDIVO QVANTIG, in combination with fluoropyrimidine- and platinum-containing chemotherapy, is indicated for the treatment of adult patients with advanced or metastatic gastric cancer, gastroesophageal junction cancer, and esophageal adenocarcinoma whose tumors express PD-L1 (≥1) [see Dosage and Administration (2.2)].",PD-L1,Yes,,,
Nivolumab and Hyaluronidase-nvhy,renal cell carcinoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","
OPDIVO QVANTIG™, as monotherapy, is indicated for the first-line treatment of adult patients with intermediate or poor risk advanced renal cell carcinoma (RCC) following treatment with intravenous nivolumab and ipilimumab combination therapy.

Limitations of Use: OPDIVO QVANTIG is not indicated in combination with ipilimumab for the treatment of renal cell carcinoma.
OPDIVO QVANTIG, in combination with cabozantinib, is indicated for the first-line treatment of adult patients with advanced RCC.
OPDIVO QVANTIG, as monotherapy, is indicated for the treatment of adult patients with advanced RCC who have received prior anti-angiogenic therapy.",*,Yes,Yes,,
Nivolumab and Hyaluronidase-nvhy,squamous cell carcinoma of the head and neck,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","
OPDIVO QVANTIG, as monotherapy, is indicated for the treatment of adult patients with recurrent or metastatic squamous cell carcinoma of the head and neck (SCCHN) with disease progression on or after platinum-based therapy.",*,Yes,,,
Nivolumab and Hyaluronidase-nvhy,colorectal cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","

OPDIVO QVANTIG, as monotherapy, is indicated for the treatment of adult and pediatric patients 12 years and older who weigh 30 kg or greater with unresectable or metastatic microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) colorectal cancer (CRC) following treatment with intravenous nivolumab and ipilimumab combination therapy.

OPDIVO QVANTIG, as monotherapy, is indicated for the treatment of adult and pediatric patients 12 years and older who weigh 30 kg or greater, with MSI-H or dMMR metastatic CRC that has progressed following treatment with a fluoropyrimidine, oxaliplatin, and irinotecan.

Limitations of Use: OPDIVO QVANTIG is not indicated in combination with ipilimumab for the treatment of unresectable or metastatic MSI-H or dMMR CRC.",*,Yes,,,
Nivolumab and Hyaluronidase-nvhy,esophageal cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","
OPDIVO QVANTIG as monotherapy, is indicated for the adjuvant treatment of completely resected esophageal or gastroesophageal junction cancer with residual pathologic disease in adult patients who have received neoadjuvant chemoradiotherapy (CRT).
OPDIVO QVANTIG, in combination with fluoropyrimidine- and platinum-containing chemotherapy, is indicated for the first-line treatment of adult patients with unresectable advanced or metastatic esophageal squamous cell carcinoma (ESCC) whose tumors express PD-L1 (≥1) [see Dosage and Administration (2.2)].

Limitations of Use: OPDIVO QVANTIG is not indicated in combination with ipilimumab for the treatment of patients with unresectable advanced or metastatic ESCC.
OPDIVO QVANTIG as monotherapy, is indicated for the treatment of adult patients with unresectable advanced, recurrent, or metastatic ESCC after prior fluoropyrimidine- and platinum-based chemotherapy.",PD-L1,Yes,Yes,,
Nivolumab and Relatlimab-rmbw,Melanoma,OPDUALAG- nivolumab and relatlimab-rmbw injection,,*,,,,
Relugolix,Prostate cancer,"ORGOVYX- relugolix tablet, film coated",,*,,,,
Elacestrant Dihydrochloride,Breast cancer,"ORSERDU- elacestrant tablet, film coated",,*,,,,
Osimertinib Mesylate,Non-small cell lung cancer,"TAGRISSO- osimertinib tablet, film coated","
TAGRISSO is indicated as adjuvant therapy after tumor resection in adult patients with non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 L858R mutations, as detected by an FDA-approved test [see Dosage and Administration (2.2)].",EGFR,,,,
Oxaliplatin,Colorectal cancer,,,*,,,,
Oxaliplatin,Stage III colon cancer,,,*,,,,
Paclitaxel,Ovarian cancer,,,*,,,,
Paclitaxel,Breast cancer,,,*,,,,
Paclitaxel,Non-small cell lung cancer,,,*,,,,
Paclitaxel,AIDS-related Kaposi sarcoma,,,*,,,,
Paclitaxel Albumin-stabilized Nanoparticle Formulation,Pancreatic cancer,"ABRAXANE- paclitaxel injection, powder, lyophilized, for suspension",,*,,,,
Paclitaxel Albumin-stabilized Nanoparticle Formulation,Breast cancer,"ABRAXANE- paclitaxel injection, powder, lyophilized, for suspension","
ABRAXANE is indicated for the treatment of breast cancer after failure of combination chemotherapy for metastatic disease or relapse within 6 months of adjuvant chemotherapy. Prior therapy should have included an anthracycline unless clinically contraindicated.",ABRAXANE,Yes,,,
Paclitaxel Albumin-stabilized Nanoparticle Formulation,Non-small cell lung cancer,"ABRAXANE- paclitaxel injection, powder, lyophilized, for suspension","
ABRAXANE is indicated for the first-line treatment of locally advanced or metastatic non-small cell lung cancer, in combination with carboplatin, in patients who are not candidates for curative surgery or radiation therapy.",ABRAXANE,Yes,Yes,,
Pacritinib Citrate,Myelofibrosis,VONJO- pacritinib capsule,,*,,,,
Enfortumab Vedotin-ejfv,Urothelial cancer,"PADCEV EJFV- enfortumab vedotin injection, powder, lyophilized, for solution",,*,,,,
Palbociclib,Breast cancer,IBRANCE- palbociclib capsule,,*,,,,
Palifermin,Oral mucositis,"KEPIVANCE- palifermin injection, powder, lyophilized, for solution",,*,,,,
Palonosetron Hydrochloride,Nausea,,,*,,,,
Palonosetron Hydrochloride,vomiting,,,*,,,,
Netupitant and Palonosetron Hydrochloride,Nausea,AKYNZEO- netupitant and palonosetron capsule,,*,,,,
Netupitant and Palonosetron Hydrochloride,vomiting,AKYNZEO- netupitant and palonosetron capsule,,*,,,,
Pamidronate Disodium,breast cancer,,,*,,,,
Pamidronate Disodium,multiple myeloma,,,*,,,,
Pamidronate Disodium,hypercalcemia,,,*,,,,
Panitumumab,Colorectal cancer,VECTIBIX- panitumumab solution,,*,,,,
Carboplatin,Ovarian cancer,,,*,,,,
Pazopanib Hydrochloride,Renal cell carcinoma,"VOTRIENT- pazopanib hydrochloride tablet, film coated","
VOTRIENT® is indicated for the treatment of adults with advanced renal cell carcinoma (RCC).",*,Yes,,,
Pazopanib Hydrochloride,Soft tissue sarcoma,"VOTRIENT- pazopanib hydrochloride tablet, film coated","
VOTRIENT is indicated for the treatment of adults with advanced soft tissue sarcoma (STS) who have received prior chemotherapy.

Limitations of Use: The efficacy of VOTRIENT for the treatment of patients with adipocytic STS or gastrointestinal stromal tumors has not been demonstrated.",*,Yes,,,
Pegaspargase,Acute lymphoblastic leukemia,,,*,,,,
Pegfilgrastim,Neutropenia,NEULASTA- pegfilgrastim kit,,*,,,,
Pemigatinib,Cholangiocarcinoma,PEMAZYRE- pemigatinib tablet,"
PEMAZYRE is indicated for the treatment of adults with previously treated, unresectable locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or other rearrangement as detected by an FDA-approved test [see Dosage and Administration (2.1)].
This indication is approved under accelerated approval based on overall response rate and duration of response [see Clinical Studies (14.1)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s).","PEMAZYRE, FGFR2, fibroblast growth factor receptor 2",Yes,,Yes,
Pemigatinib,Myeloid,PEMAZYRE- pemigatinib tablet,,*,,,,
Pemigatinib,lymphoid,PEMAZYRE- pemigatinib tablet,,*,,,,
Pembrolizumab,Hepatocellular carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","
KEYTRUDA is indicated for the treatment of patients with hepatocellular carcinoma (HCC) secondary to hepatitis B who have received prior systemic therapy other than a PD-1/PD-L1-containing regimen.",*,,,,
Pembrolizumab,Classic Hodgkin lymphoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution",,*,,,,
Pembrolizumab,Non-small cell lung cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","
									KEYTRUDA, in combination with pemetrexed and platinum chemotherapy, is indicated for the first-line treatment of patients with metastatic nonsquamous non-small cell lung cancer (NSCLC), with no EGFR or ALK genomic tumor aberrations. 								
									KEYTRUDA, in combination with carboplatin and either paclitaxel or paclitaxel protein-bound, is indicated for the first-line treatment of patients with metastatic squamous NSCLC. 								
KEYTRUDA, as a single agent, is indicated for the first-line treatment of patients with NSCLC expressing PD-L1 [Tumor Proportion Score (TPS) ≥1%] as determined by an FDA-authorized test [see Dosage and Administration (2.1)], with no EGFR or ALK genomic tumor aberrations, and is:
								

Stage III where patients are not candidates for surgical resection or definitive chemoradiation, or
									
metastatic.
									

KEYTRUDA, as a single agent, is indicated for the treatment of patients with metastatic NSCLC whose tumors express PD-L1 (TPS ≥1%) as determined by an FDA-authorized test [see Dosage and Administration (2.1)], with disease progression on or after platinum-containing chemotherapy. Patients with EGFR or ALK genomic tumor aberrations should have disease progression on FDA-approved therapy for these aberrations prior to receiving KEYTRUDA.
KEYTRUDA is indicated for the treatment of patients with resectable (tumors ≥4 cm or node positive) NSCLC in combination with platinum-containing chemotherapy as neoadjuvant treatment, and then continued as a single agent as adjuvant treatment after surgery.
KEYTRUDA, as a single agent, is indicated as adjuvant treatment following resection and platinum-based chemotherapy for adult patients with Stage IB (T2a ≥4 cm), II, or IIIA NSCLC.","EGFR, ALK, PD-L1",Yes,Yes,,
Pembrolizumab,gastroesophageal junction adenocarcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution",,*,,,,
Pembrolizumab,Gastric (stomach) cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution",,*,,,,
Pembrolizumab, gastroesophageal junction cancer,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution",,*,,,,
Pembrolizumab,Malignant pleural mesothelioma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","
KEYTRUDA, in combination with pemetrexed and platinum chemotherapy, is indicated for the first-line treatment of adult patients with unresectable advanced or metastatic malignant pleural mesothelioma (MPM).",*,Yes,Yes,,
Pembrolizumab,Urothelial carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution",,*,,,,
Pembrolizumab,Renal cell carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","
KEYTRUDA, in combination with axitinib, is indicated for the first-line treatment of adult patients with advanced renal cell carcinoma (RCC).
								
KEYTRUDA, in combination with lenvatinib, is indicated for the first-line treatment of adult patients with advanced RCC.
KEYTRUDA is indicated for the adjuvant treatment of patients with RCC at intermediate-high or high risk of recurrence following nephrectomy, or following nephrectomy and resection of metastatic lesions [see Clinical Studies (14.16)].",*,Yes,Yes,,
Pembrolizumab,Cutaneous squamous cell carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","
KEYTRUDA is indicated for the treatment of patients with recurrent or metastatic cutaneous squamous cell carcinoma (cSCC) or locally advanced cSCC that is not curable by surgery or radiation.",*,Yes,,,
Pembrolizumab,Merkel cell carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","
KEYTRUDA is indicated for the treatment of adult and pediatric patients with recurrent locally advanced or metastatic Merkel cell carcinoma (MCC).",*,Yes,,,
Pembrolizumab,Squamous cell carcinoma of the head and neck,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution",,*,,,,
Pembrolizumab,Endometrial carcinoma,"KEYTRUDA- pembrolizumab injection, powder, lyophilized, for solution","
KEYTRUDA, in combination with carboplatin and paclitaxel, followed by KEYTRUDA as a single agent, is indicated for the treatment of adult patients with primary advanced or recurrent endometrial carcinoma.

KEYTRUDA, in combination with lenvatinib, is indicated for the treatment of adult patients with advanced endometrial carcinoma that is mismatch repair proficient (pMMR) or not MSI-H as determined by an FDA-authorized test, who have disease progression following prior systemic therapy in any setting and are not candidates for curative surgery or radiation [see Dosage and Administration (2.1)].

KEYTRUDA, as a single agent, is indicated for the treatment of adult patients with advanced endometrial carcinoma that is MSI-H or dMMR, as determined by an FDA-authorized test, who have disease progression following prior systemic therapy in any setting and are not candidates for curative surgery or radiation [see Dosage and Administration (2.1)].",*,Yes,,,
